id,question
1,¿Dormir mal puede afectar mi peso?
2,Me da mucha hambre en la noche cuando hace frío, ¿qué puedo hacer?
3,¿Caminar en invierno en Valdivia sirve para bajar de peso?
4,¿Qué alimentos típicos del sur de Chile son más sanos para controlar la obesidad?
5,¿Es malo dejar de comer pan para bajar de peso?
6,¿Por qué me cuesta tanto bajar de peso aunque como menos?
7,¿Qué puedo hacer si tengo ansiedad y me dan ganas de comer dulces?
8,¿El mate con azúcar afecta mucho el peso?
9,Tengo obesidad y me canso mucho al caminar, ¿es normal?
10,Tengo dolor en el pecho a veces cuando hago esfuerzo, ¿debería preocuparme?
